commit	s1_avg	s2_avg	steps_k	status	description
e1400b0	-91.02	-97.36	500	keep	baseline two-stage curriculum
c62e2e2	-60.69	-84.09	500	keep	Simplify action handling: clamp to [-1, 1] without tanh squashing
-e 65439bb	-32.42	-53.62	500	keep	Fix action distribution: tanh squashing with correct log_prob, entropy=0.01, log_std=0.0
-e 4b5d273	-79.46	-134.78	500	discard	Store raw actions, apply tanh for env step - regression
-e 2aa3f3a	-39.37	-41.46	500	keep	Entropy 0.001: S2 improved +12pts despite S1 regression
-e cfec6ac	-97.45	-51.92	500	discard	Obs norm update in rollout: major regression
-e 544a5bd	-55.66	-28.42	500	keep	Value clipping: S2 improved +13pts to -28.42
-e c40a361	-63.65	-63.46	497	discard	log_std -1.0: major regression -35pts
-e 4349bb9	-52.43	-30.11	491	discard	LR 3e-4: slight regression -2pts
-e 6981599	-63.45	-47.85	491	discard	n_envs=12: major regression -19pts, throughput halved
-e 03eed43	0.00	0.00	0	crash	Advantage normalization: NaN explosion
-e ae8b819	-43.63	-37.92	497	discard	Entropy 0.01 + adv norm: regression -9pts
-e 2d0c6fa	-36.07	-48.66	500	discard	Advantage normalization: regression -20pts
-e 69b4ead	-91.91	-117.01	500	discard	atanh fix: catastrophic regression -89pts
-e 76a293a	-76.85	-35.79	500	discard	batch_size 256: regression -7pts
-e 12955e4	-98.83	-52.05  500	discard	Entropy 0.02: major regression -24pts
-e 544da2b  11.07   4.92    5000 keep Increase time budget to 9000s +22.24pts
-e c6f1bd9	216.68	-74.2	10000 discard	Fixed action dist mismatch, tuned lr, increased training time(4M,6M steps for stages 1 and 2) - killed at 5.8M stage2 step , Stage1 was solved, Stage2 stuck
-e 38f6df4 -49.84   -1.89   6200 discard decrease stage1 training time (360s), increase stage2 training time(6M steps), regression8392344	218.67	-62.98	9500	discard	reward normalization, 16 envs, batch=256, LR/clip decay
e52a41c	-41.09	-40.19	10500	discard	constant LR/clip, 500K stage1 (too short), batch=512
8e9517f	173.86	-86.92	4500	discard	constant LR/clip, n_envs=8, batch=64, stage1 1800s
af2396a  250.1   21.76  10000   keep reward_norm,action dist, n_envs=16, major progress
84f212b  291.15  166.58 110000  keep 32 envs, cpu training,log_std Reset.       
